Список измененных значений:

       Коды работ по выпуску РД|Наименование объекта/комплекта РД                                                                                                                                                                         |Код KKS документа                                                            |Пакет РД                                      |Статус Заказчика                                                              |Текущая ревизия                                           |Статус текущей ревизии                                                                                                                                                           |Дата выпуска РД по договору подрядчика                                     |Дата выпуска РД по графику с Заказчиком                               |Дата статуса Заказчика                                     |Ожидаемая дата выдачи РД в производство                                         |Разработчики РД (актуальные)   |
775  | 01UEX.E.BAU.D-1000      |(01-04UEX). Молниезащита и заземление                                                                                                                                                                     |AKU.1309.01UEX.0.ET.TB0001                                                   |-                                             |Смена статус заказчика с <Выдан в производство (rev.C01)> на <ВК - (rev.C02)> |Смена текущая ревизия с <C01> на <C02>                    |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику>          |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-07-04> на <2023-02-08>|-                                                                               |JV=>Титан-2=>Ростовский ПСП    |
776  | 01UEX.E.B00.D-1000      |(01-04UEX). Электрическое освещение                                                                                                                                                                       |AKU.1309.01UEX.0.EN.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-12> на <2023-03-14>    |Титан-2=>ТП                    |
777  | 00UFA.E.B00.D-1340      |Компоновочный чертеж электрооборудования                                                                                                                                                                  |-                                                                            |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-12-16> на <2023-04-20>    |АЭП                            |
778  | 00UFA.E.B00.D-1230      |КРУ 0.38 кВ. Журнал контрольных кабелей                                                                                                                                                                   |AKU.0179.00UFA.0.AE.MB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-15> на <2023-03-20>    |Титан-2=>ОВСК(ПСГ)             |
779  | 00UFA.E.B00.D-1220      |КРУ 0.38 кВ. Таблицы внешних подключений                                                                                                                                                                  |AKU.0179.00UFA.0.AE.MA0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-12-16> на <2023-04-20>    |Титан-2=>ОВСК(ПСГ)             |
780  | 00UFA.E.B00.D-1320      |Схемы электрических соединений щитов и сборок 0.4 кВ. Задание заводу                                                                                                                                      |AKU.0179.00UFA.0.EM.EC0001                                                   |-                                             |Смена статус заказчика с <(rev.C01)> на <ВК - (rev.C01)>                      |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар>                                 |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-11-10> на <2023-02-02>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>    |Титан-2=>ОВСК(ПСГ)             |
781  | 00UFA.E.B00.D-1010      |Схемы электрических соединений щитов и сборок 0.4 кВ                                                                                                                                                      |AKU.0179.00UFA.0.EM.TB0001                                                   |-                                             |Смена статус заказчика с <(rev.C01)> на <На ВК (rev.C01)>                     |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар>                                 |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-11-10> на <2023-02-10>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>    |Титан-2=>ОВСК(ПСГ)             |
782  | 00UFA.E.B00.D-1310      |Электрическое освещение и розеточная сеть                                                                                                                                                                 |AKU.0179.00UFA.0.EW.TB0001                                                   |-                                             |Смена статус заказчика с <(rev.C01)> на <ВК - (rev.C01)>                      |-                                                         |Смена статус текущей ревизии с <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику> на <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар>                                 |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-11-02> на <2023-02-06>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>    |Титан-2=>ОВСК(ПСГ)             |
783  | 00UFA.T.SA0.D-1020      |Аксонометрические схемы вентиляции                                                                                                                                                                        |AKU.0120.00UFA.0.HV.TB0003                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2021-02-22>      |Смена ожидаемая дата выдачи рд в производство с <2022-11-14> на <2023-03-21>    |АЭП                            |
784  | 00UFA.T.SA0.D-1000      |Принципиальные схемы вентиляции                                                                                                                                                                           |AKU.0120.00UFA.0.HV.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2021-02-17>      |Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <2023-03-21>    |АЭП                            |
785  | 00UFA.T.G00.D-1040      |Система водоснабжения                                                                                                                                                                                     |AKU.0120.00UFA.0.WK.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-05-07> на <2021-09-22>|-                                                                               |АЭП                            |
786  | 00UFA.T.SGE.D-1000      |Системы автоматического газового пожаротушения                                                                                                                                                            |-                                                                            |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-19> на <2023-03-20>    |Титан-2=>АЭП                   |
787  | 00UFA.T.G00.D-1010      |Системы водоотведения                                                                                                                                                                                     |AKU.0120.00UFA.0.WK.TB0002                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-09-23> на <2022-09-20>|-                                                                               |АЭП                            |
788  | 00UFA.T.KTL.D-1030      |Трубопроводы системы спецканализации здания 00UFA (00KTL). Задание заводу                                                                                                                                 |-                                                                            |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-19> на <2023-03-28>    |Титан-2=>АЭП                   |
789  | 00UFA.T.KTL.D-1020      |Трубопроводы системы спецканализации здания 00UFA (00KTL)                                                                                                                                                 |-                                                                            |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-19> на <2023-03-28>    |Титан-2=>АЭП                   |
790  | 00UFA.T.QKF.D-1080      |Трубопроводы системы холодоснабжения для вентиляционных систем (QKF). Задание заводу                                                                                                                      |AKU.0120.00UFA.QKF.TM.TB0001.Z0001                                           |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2021-02-22>      |Смена ожидаемая дата выдачи рд в производство с <2022-12-31> на <2023-04-11>    |Титан-2=>АЭП                   |
791  | 00UFA.T.KTL.D-1000      |Установочные чертежи оборудования спецканализации                                                                                                                                                         |-                                                                            |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-19> на <2023-03-28>    |Титан-2=>АЭП                   |
792  | 01UGT.T.GKD.D-1010      |Внутриплощадочные сети водопровода и канализации в районе маслодизельного хозяйства и очистных сооружений (GKD)                                                                                           |AKU.0120.01UGT.0.NW.TB0014                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |Смена дата выпуска рд по договору подрядчика с <None> на <2022-03-29>      |-                                                                     |Смена дата статуса заказчика с <2022-08-01> на <2022-06-29>|-                                                                               |Титан-2=>АЭП                   |
793  | 01UGT.T.GMA.D-1000      |Внутриплощадочные сети водопровода и канализации в районе маслодизельного хозяйства и очистных сооружений (GMA)                                                                                           |AKU.0120.01UGT.0.NW.TB0007                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-09-06> на <2022-09-02>|-                                                                               |АЭП                            |
794  | 01UGT.T.GQA.D-1000      |Внутриплощадочные сети водопровода и канализации в районе маслодизельного хозяйства и очистных сооружений (GQA)                                                                                           |AKU.0120.01UGT.0.NW.TB0005                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-07-01> на <2022-06-29>|-                                                                               |АЭП                            |
795  | 01UGT.T.G00.D-1030      |Внутриплощадочные сети водопровода и канализации в районе общестанционных зданий (GKD, GQA, GQD)                                                                                                          |AKU.0120.01UGT.0.NW.TB0003                                                   |-                                             |Смена статус заказчика с <Выдан в производство (rev.C02)> на <ВК + (rev.C03)> |Смена текущая ревизия с <C02> на <C03>                    |Смена статус текущей ревизии с <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>    |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-04-25> на <2023-02-10>|-                                                                               |АЭП                            |
796  | 01UGT.T.S00.D-1030      |Внутриплощадочные сети водопровода и канализации в районе общестанционных зданий (SGA, GUD)                                                                                                               |AKU.0120.01UGT.0.NW.TB0001                                                   |-                                             |Смена статус заказчика с <Выдан в производство (rev.C02)> на <ВК + (rev.C03)> |Смена текущая ревизия с <C02> на <C03>                    |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-07-27> на <2023-02-10>|-                                                                               |АЭП                            |
797  | 01UGT.T.G00.D-1010      |Внутриплощадочные сети водопровода и канализации в районе основных зданий второго блока (GQA, GQD, GMA, GUD)                                                                                              |AKU.0120.01UGT.0.NW.TB0024                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-04-07> на <2022-03-22>|Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |АЭП                            |
798  | 01UGT.T.S00.D-1020      |Внутриплощадочные сети водопровода и канализации в районе основных зданий второго блока (SGA, GKD)                                                                                                        |AKU.0120.01UGT.0.NW.TB0026                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-04-07> на <2022-03-22>|Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |АЭП                            |
799  | 01UGT.T.GMA.D-1020      |Внутриплощадочные сети водопровода и канализации в районе основных зданий первого блока (GMA)                                                                                                             |AKU.0120.01UGT.0.NW.TB0019                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-04-07> на <2022-04-01>|Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |АЭП                            |
800  | 01UGT.T.GQA.D-1030      |Внутриплощадочные сети водопровода и канализации в районе основных зданий первого блока (GQA)                                                                                                             |AKU.0120.01UGT.0.NW.TB0017                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-04-07> на <2022-04-01>|Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |АЭП                            |
801  | 01UGT.T.GQD.D-1040      |Внутриплощадочные сети водопровода и канализации в районе основных зданий первого блока (GQD)                                                                                                             |AKU.0120.01UGT.0.NW.TB0018                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-04-07> на <2022-04-01>|Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |АЭП                            |
802  | 01UGT.T.GUD.D-1020      |Внутриплощадочные сети водопровода и канализации в районе основных зданий первого блока (GUD)                                                                                                             |AKU.0120.01UGT.0.NW.TB0020                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-04-04> на <2022-03-31>|-                                                                               |АЭП                            |
803  | 01UGT.T.S00.D-1000      |Внутриплощадочные сети водопровода и канализации в районе основных зданий первого блока (SGA, GKD)                                                                                                        |AKU.0120.01UGT.0.NW.TB0022                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-04-07> на <2022-03-22>|Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>      |АЭП                            |
804  | 01UGT.T.G00.D-1050      |Внутриплощадочные сети водопровода и канализации в районе основных зданий третьего блока (GQA, GQD, GMA, GUD)                                                                                             |AKU.0120.01UGT.0.NW.TB0028                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-11-27> на <2023-03-21>    |АЭП                            |
805  | 01UGT.T.G00.D-1070      |Внутриплощадочные сети водопровода и канализации в районе основных зданий третьего блока (SGA, GKD)                                                                                                       |AKU.0120.01UGT.0.NW.TB0030                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2019-12-03> на <2019-12-23>|-                                                                               |АЭП                            |
806  | 01UGT.T.S00.D-1050      |Внутриплощадочные сети водопровода и канализации в районе основных зданий четвертого блока (GQA, GQD, GMA, GUD)                                                                                           |AKU.0120.01UGT.0.NW.TB0032                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2019-12-03> на <2019-12-23>|-                                                                               |АЭП                            |
807  | 01UGT.T.G00.D-1130      |Внутриплощадочные сети водопровода и канализации в районе основных зданий четвертого блока (SGA, GKD)                                                                                                     |AKU.0120.01UGT.0.NW.TB0034                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-09-29> на <2022-09-28>|Смена ожидаемая дата выдачи рд в производство с <2022-11-20> на <2023-03-02>    |АЭП                            |
808  | 01UGT.T.G00.D-1150      |Насосные станции на сетях канализации                                                                                                                                                                     |AKU.0120.01UGT.0.NW.TB0037                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |-                                                                               |АЭП                            |
809  | 02UGT.T.G00.D-1090      |Внеплощадочные сети водопровода (SGA, GKD). Участок 10                                                                                                                                                    |AKU.0179.02UGT.0.NW.TB0008                                                   |-                                             |Смена статус заказчика с <(rev.C01)> на <Выдан в производство (rev.C01)>      |Смена текущая ревизия с <C01 (есть только в 1С)> на <C01> |Смена статус текущей ревизии с <None> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>                                                                      |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2022-12-12>      |Смена ожидаемая дата выдачи рд в производство с <2023-01-18> на <в производстве>|Титан-2=>ЭСТ                   |
810  | 02UGT.T.G00.D-1070      |Внеплощадочные сети водопровода (SGA, GKD). Участок 9                                                                                                                                                     |AKU.0179.02UGT.0.NW.TB0007                                                   |-                                             |Смена статус заказчика с <(rev.C01)> на <Выдан в производство (rev.C01)>      |Смена текущая ревизия с <C01 (есть только в 1С)> на <C01> |Смена статус текущей ревизии с <None> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2022-12-21>      |Смена ожидаемая дата выдачи рд в производство с <2023-01-18> на <в производстве>|Титан-2=>ЭСТ                   |
811  | 02UGT.T.G00.D-1060      |Смена наименования с <Внеплощадочные сети канализации (GUD, GQA, GQB, GQD). Участок 10> на <Внеплощадочные сети канализации (GUD, GQA). Участок 10>                                                       |AKU.0179.02UGT.0.NW.TB0006                                                   |-                                             |Смена статус заказчика с <(rev.C01)> на <Выдан в производство (rev.C01)>      |Смена текущая ревизия с <C01 (есть только в 1С)> на <C01> |Смена статус текущей ревизии с <None> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>                                                                      |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2022-12-13>      |Смена ожидаемая дата выдачи рд в производство с <2023-01-18> на <в производстве>|Титан-2=>ЭСТ                   |
812  | 02UGT.T.G00.D-1040      |Смена наименования с <Внеплощадочные сети канализации (GUD, GQA, GQB, GQD). Участок 9> на <Внеплощадочные сети канализации (GUD, GQA). Участок 9>                                                         |AKU.0179.02UGT.0.NW.TB0005                                                   |-                                             |Смена статус заказчика с <(rev.C01)> на <(rev.C02)>                           |Смена текущая ревизия с <C01 (есть только в 1С)> на <C01> |Смена статус текущей ревизии с <None> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-18> на <в производстве>|Титан-2=>ЭСТ                   |
813  | 02UGT.T.G00.D-1020      |Канализационные насосные станции (GQB)                                                                                                                                                                    |AKU.0179.02UGT.0.NW.TB0004                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-12-31> на <2023-05-12>    |Титан-2=>ЭСТ                   |
814  | 02UGT.T.TTT.D-1000      |Очистные сооружения (GMA, GUD)                                                                                                                                                                            |AKU.0179.02UGT.0.WK.TB0001                                                   |-                                             |-                                                                             |-                                                         |-                                                                                                                                                                                |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-11> на <2023-04-13>    |Титан-2=>ЭСТ                   |
