Список измененных значений:

       Коды работ по выпуску РД|Наименование объекта/комплекта РД                                                                                                      |Код KKS документа                                                            |Пакет РД                                               |Статус Заказчика                                                              |Текущая ревизия                                           |Статус текущей ревизии                                                                                                                                                             |Дата выпуска РД по договору подрядчика                                     |Дата выпуска РД по графику с Заказчиком                               |Дата статуса Заказчика                                     |Ожидаемая дата выдачи РД в производство                                             |Разработчики РД (актуальные)   |
2460 | 00UAC.J.JJJ.D-1130      |Система диспетчерской (двусторонней громкоговорящей) связи и голосового оповещения                                                     |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-12> на <2023-08-24>        |JV=>Титан-2=>ТП=>ОЭС           |
2461 | 00UAC.J.JJJ.D-1140      |Система проводного радиотрансляционного вещания                                                                                        |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-12> на <2023-05-15>        |JV=>Титан-2=>ТП=>ОЭС           |
2462 | 00UAC.J.JJJ.D-1120      |Система телефонной связи                                                                                                               |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-12> на <2023-08-24>        |JV=>Титан-2=>ТП=>ОЭС           |
2463 | 00UAC.T.SG0.D-1010      |Автоматические установки водяного пожаротушения                                                                                        |Смена кода с <AKU.1227.00UAC.SGC.PT.TB0001> на <AKU.1480.00UAC.SGC.PT.TB0001>|-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2021-05-27> на <2022-12-13>|-                                                                                   |JV=>Титан-2=>SEP=>ЭСТ          |
2464 | 10UBA.T.GUD.D-2010      |Система дождевой канализации GUD. Отвод стоков от фанкойлов системы 15SAC01                                                            |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-06> на <2023-04-11>        |Титан-2=>АЭП                   |
2465 | 10UBA.T.SGE.D-2000      |Системы автоматического газового пожаротушения помещений СФЗ                                                                           |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-06> на <2023-04-11>        |Титан-2=>АЭП                   |
2466 | 10UBA.T.SBC.D-2020      |Трубопроводы системы теплоснабжения                                                                                                    |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-06> на <2023-04-11>        |Титан-2=>АЭП                   |
2467 | 11UBN.E.B00.D-1060      |(11-12UBN). Сборки КРУ 10 кВ. Вторичная коммутация. Схемы электрические полные                                                         |-                                                                            |-                                                      |Смена статус заказчика с <None> на <ВК + (rev.C01)>                           |Смена текущая ревизия с <None> на <C01>                   |Смена статус текущей ревизии с <None> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>                                                                        |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |Смена дата статуса заказчика с <None> на <2023-02-08>      |Смена ожидаемая дата выдачи рд в производство с <2023-01-29> на <в производстве>    |Титан-2=>АЭП                   |
2468 | 11UBN.E.B00.D-1080      |КРУ 0.38 кВ. Сборки. Таблицы внешних подключений                                                                                       |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-13> на <2023-07-30>        |Титан-2=>АЭП                   |
2469 | 11UBN.E.B00.D-1090      |КРУ 0.38 кВ. Секция 11BME. Таблицы внешних подключений                                                                                 |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-13> на <2023-07-30>        |Титан-2=>АЭП                   |
2470 | 11UBN.E.B00.D-1100      |РЗ и СКУ ЭЧ. Кабели пятой группы раскладки. Журнал контрольных кабелей                                                                 |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-29> на <2023-04-11>        |Титан-2=>АЭП                   |
2471 | 11UBN.E.B00.D-1140      |РЗ и СКУ ЭЧ. КРУ 10 кВ. КРУ 0.4 кВ. САУ ДГ. Журнал контрольных кабелей                                                                 |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-29> на <2023-04-11>        |Титан-2=>АЭП                   |
2472 | 11UBN.E.B00.D-1510      |Схемы электрических соединений 0.4 кВ. Журнал силовых кабелей НЭ                                                                       |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-13> на <2023-10-29>        |Титан-2=>АЭП                   |
2473 | 11UBN.E.B00.D-1170      |Схемы электрических соединений 0.4 кВ. Журнал силовых кабелей СБ                                                                       |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-12-30> на <2024-01-28>        |Титан-2=>АЭП                   |
2474 | 11UBN.E.B00.D-1150      |Шкафы КРУ 10 кВ. Сборка 11BDC. Таблицы внешних подключений                                                                             |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-14> на <2023-05-23>        |Титан-2=>АЭП                   |
2475 | 11UBN.J.C00.D-1000      |Журнал контрольных кабелей ТТК. 1 канал СБ                                                                                             |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-24> на <2023-04-05>        |Титан-2=>АЭП                   |
2476 | 11UBN.J.C00.D-1010      |Журнал контрольных кабелей ТТК. Нормальная эксплуатация                                                                                |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-24> на <2023-04-05>        |Титан-2=>АЭП                   |
2477 | 11UBN.J.C00.D-1600      |Задание заводу на МПУ вторичных преобразователей КИП                                                                                   |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-03-30> на <2023-03-27>        |Титан-2=>АЭП                   |
2478 | 11UBN.J.C00.D-1060      |Кабельные соединения датчиков ТТК                                                                                                      |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-23> на <2023-05-10>        |Титан-2=>АЭП                   |
2479 | 11UBN.J.C00.D-1070      |МПУ. Журнал контрольных кабелей САУ ДГ 1 канала безопасности                                                                           |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП                   |
2480 | 11UBN.J.C00.D-1080      |МПУ. Журнал силовых кабелей САУ ДГ 1 канала безопасности                                                                               |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП                   |
2481 | 11UBN.J.C00.D-1140      |МПУ. НКУ НЭ. Схемы внешних подключений к сборкам 0,38 кВ                                                                               |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП                   |
2482 | 11UBN.J.C00.D-1900      |МПУ. НКУ СБ. Задание заводу на сборки 0,38 кВ                                                                                          |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-03-30> на <2023-05-28>        |Титан-2=>АЭП                   |
2483 | 11UBN.J.C00.D-1150      |МПУ. НКУ СБ. Схемы внешних подключений к сборкам 0,38 кВ                                                                               |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП                   |
2484 | 11UBN.J.C00.D-1160      |МПУ. НКУ СБ. Схемы заполнения сборок 0,38 кВ                                                                                           |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-03-30> на <2023-04-29>        |Титан-2=>АЭП                   |
2485 | 11UBN.J.C00.D-1890      |МПУ. НКУ систем НЭ. Задание заводу на сборки 0.38 кВ                                                                                   |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-03-30> на <2023-05-28>        |Титан-2=>АЭП                   |
2486 | 11UBN.J.C00.D-1170      |МПУ. НКУ систем НЭ. Схемы заполнения сборок 0.38 кВ                                                                                    |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-03-30> на <2023-04-29>        |Титан-2=>АЭП                   |
2487 | 11UBN.J.C00.D-1090      |МПУ. Перечень объектов управления. Запорная арматура                                                                                   |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП                   |
2488 | 11UBN.J.C00.D-1100      |МПУ. Перечень объектов управления. Механизмы                                                                                           |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП                   |
2489 | 11UBN.J.C00.D-1110      |МПУ. Перечень объектов управления. Регулирующая арматура                                                                               |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП                   |
2490 | 11UBN.J.C00.D-1610      |МПУ. Схема структурная комплекса технических средств                                                                                   |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП                   |
2491 | 11UBN.J.C00.D-1200      |Перечень измерительных контуров ТТК                                                                                                    |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-24> на <2023-04-09>        |Титан-2=>АЭП                   |
2492 | 11UBN.J.C00.D-1020      |ПТК СКУ ЭЧ ЭБ. Журнал кабелей от электрооборудования                                                                                   |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-12-29> на <2023-04-11>        |Титан-2=>АЭП                   |
2493 | 11UBN.J.C00.D-1190      |ПТК СКУ ЭЧ ЭБ. Схема структурная комплекса технических средств                                                                         |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-12-26> на <2023-03-21>        |Титан-2=>АЭП                   |
2494 | 11UBN.J.C00.D-1030      |ПТК СКУ ЭЧ ЭБ. Таблицы внешних подключений                                                                                             |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2022-12-31> на <2023-04-18>        |Титан-2=>АЭП                   |
2495 | 11UBN.J.C00.D-1350      |Система общестанционной телефонной связи. Журнал контрольных кабелей                                                                   |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-22> на <2023-03-28>        |Титан-2=>АЭП                   |
2496 | 11UBN.J.C00.D-1340      |Система общестанционной телефонной связи                                                                                               |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-22> на <2023-05-28>        |Титан-2=>АЭП                   |
2497 | 11UBN.J.C00.D-1370      |Система оперативной громкоговорящей и телефонной связи. Журнал контрольных кабелей                                                     |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-22> на <2023-03-28>        |Титан-2=>АЭП                   |
2498 | 11UBN.J.C00.D-1360      |Система оперативной громкоговорящей и телефонной связи                                                                                 |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-02-22> на <2023-04-30>        |Титан-2=>АЭП                   |
2499 | 11UBN.J.C00.D-1390      |Система оповещения и поиска персонала. Журнал контрольных кабелей                                                                      |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП                   |
2500 | 11UBN.J.C00.D-1440      |Система технологического видеонаблюдения (промтелевидение)                                                                             |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-03-24> на <2023-05-28>        |Титан-2=>АЭП                   |
2501 | 11UBN.J.C00.D-1410      |Система часофикации. Журнал контрольных кабелей                                                                                        |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |-                                                                                   |Титан-2=>АЭП                   |
2502 | 11UBN.J.C00.D-1400      |Система часофикации                                                                                                                    |-                                                                            |-                                                      |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-31>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-06-14> на <2023-08-27>        |Титан-2=>АЭП                   |
